epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0362,2.55163,23.3652,1.01912,0.01237,0.5,0.02022,0.01011,2.53319,25.3817,0.77657,0,0,0
2,42.3653,3.57682,52.7005,1.17579,0.00228,0.5,0.0128,0.0064,1.97821,19.5219,0.76544,1.9604e-05,1.9604e-05,1.9604e-05
3,52.5957,2.88317,26.2325,1.04146,0.00333,1,0.0068,0.00352,1.98737,16.7354,0.74964,3.8416e-05,3.8416e-05,3.8416e-05
4,59.9708,1.98316,15.0846,0.93103,0.00333,1,0.00433,0.00216,2.01372,18.7334,0.73952,5.6436e-05,5.6436e-05,5.6436e-05
5,67.3146,2.13907,9.1619,1.00447,0.00333,1,0.00848,0.00437,1.96063,24.9377,0.72527,7.3664e-05,7.3664e-05,7.3664e-05
6,74.1013,2.17476,8.45039,0.92799,0.49635,0.5,0.50092,0.20104,2.06351,28.3009,0.70826,9.01e-05,9.01e-05,9.01e-05
7,82.6952,2.01807,7.71473,0.93969,0.87594,0.5,0.63786,0.32604,1.92817,25.2584,0.68895,0.000105744,0.000105744,0.000105744
8,91.6898,1.85901,7.49906,0.80522,0.66217,0.98651,0.82833,0.497,1.79116,19.8019,0.67964,0.000120596,0.000120596,0.000120596
9,100.419,2.05696,3.90541,0.88784,1,0.91033,0.995,0.597,1.67671,16.8311,0.6731,0.000134656,0.000134656,0.000134656
10,108.864,2.16613,5.89108,0.93673,0.84903,1,0.995,0.597,1.64278,17.3149,0.66925,0.000147924,0.000147924,0.000147924
11,117.403,2.03467,6.78953,0.818,0.93281,1,0.995,0.60411,1.60958,19.0199,0.6662,0.0001604,0.0001604,0.0001604
12,125.659,2.68554,9.38078,0.9303,0.9445,1,0.995,0.54709,1.66206,23.4347,0.65972,0.000172084,0.000172084,0.000172084
13,134.332,1.76933,4.41957,0.91893,0.93959,1,0.995,0.50025,1.70628,27.8684,0.6535,0.000182976,0.000182976,0.000182976
14,142.202,2.34397,3.67901,0.96,0.92642,1,0.995,0.42366,1.72002,30.3411,0.65101,0.000193076,0.000193076,0.000193076
15,150.218,1.98292,3.5028,0.90584,0.61386,1,0.82833,0.34316,1.7863,34.9701,0.65385,0.000202384,0.000202384,0.000202384
16,157.884,1.46291,4.76074,0.82335,0.6383,1,0.995,0.49098,1.85775,32.2405,0.66107,0.0002109,0.0002109,0.0002109
17,165.546,1.95813,2.64819,0.85437,0.63048,1,0.995,0.54219,1.9111,28.2478,0.67309,0.000218624,0.000218624,0.000218624
18,172.984,2.17129,3.91516,0.87514,0.63048,1,0.995,0.54219,1.9111,28.2478,0.67309,0.000225556,0.000225556,0.000225556
19,181.009,1.62895,2.12947,0.82882,0.496,1,0.995,0.59692,1.89773,23.1284,0.67756,0.000231696,0.000231696,0.000231696
20,189.355,3.01014,5.41988,0.94207,0.496,1,0.995,0.59692,1.89773,23.1284,0.67756,0.000237044,0.000237044,0.000237044
21,197.665,2.00121,2.81809,0.87499,0.67983,1,0.995,0.597,1.76476,17.9645,0.67594,0.0002416,0.0002416,0.0002416
22,205.849,1.51811,3.11562,0.88666,0.67983,1,0.995,0.597,1.76476,17.9645,0.67594,0.000245364,0.000245364,0.000245364
23,213.869,1.97435,2.21888,0.91966,0.9927,1,0.995,0.64654,1.5879,13.5921,0.65963,0.000248336,0.000248336,0.000248336
24,221.909,2.87166,3.84246,0.85897,0.9927,1,0.995,0.64654,1.5879,13.5921,0.65963,0.000250516,0.000250516,0.000250516
25,230.183,1.67585,3.8685,0.79196,0.65173,1,0.82833,0.57983,1.46345,12.9976,0.6443,0.000251904,0.000251904,0.000251904
26,237.787,1.93542,3.06576,0.84636,0.65173,1,0.82833,0.57983,1.46345,12.9976,0.6443,0.0002525,0.0002525,0.0002525
27,246.322,1.50824,2.72946,0.77441,0.65243,1,0.82833,0.53008,1.3763,11.0122,0.632,0.000252304,0.000252304,0.000252304
28,254.46,1.64936,1.79413,0.84942,0.65243,1,0.82833,0.53008,1.3763,11.0122,0.632,0.000251316,0.000251316,0.000251316
29,262.72,1.43249,1.70291,0.88135,0.65159,1,0.82833,0.53008,1.29925,8.67391,0.63016,0.000249536,0.000249536,0.000249536
30,270.164,1.95033,2.17693,0.75798,0.65159,1,0.82833,0.53008,1.29925,8.67391,0.63016,0.000246964,0.000246964,0.000246964
31,278.001,2.21718,2.65531,0.93167,0.65274,1,0.82833,0.57983,1.20926,7.24363,0.63273,0.0002436,0.0002436,0.0002436
32,286.675,1.83704,1.40276,0.84384,0.65274,1,0.82833,0.57983,1.20926,7.24363,0.63273,0.000239444,0.000239444,0.000239444
33,294.244,1.72995,1.66407,0.82245,0.65661,1,0.82833,0.59638,1.14683,7.01446,0.62882,0.000234496,0.000234496,0.000234496
34,302.023,1.91775,2.24097,0.90578,0.65661,1,0.82833,0.59638,1.14683,7.01446,0.62882,0.000228756,0.000228756,0.000228756
35,309.757,1.67179,1.48445,0.87518,0.66573,1,0.82833,0.66267,0.96797,7.03534,0.63043,0.000222224,0.000222224,0.000222224
