epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9232,2.55163,23.3652,1.01912,0.01237,0.5,0.02022,0.01011,2.53319,25.3817,0.77657,0,0,0
2,27.1038,3.57682,52.7005,1.17579,0.00228,0.5,0.0128,0.0064,1.97424,19.4797,0.76535,1.9802e-05,1.9802e-05,1.9802e-05
3,38.3243,2.88295,26.1785,1.04126,0.00333,1,0.0067,0.00348,1.98983,16.7313,0.74934,3.9208e-05,3.9208e-05,3.9208e-05
4,50.51,1.98351,15.0044,0.93066,0.00333,1,0.00437,0.00219,2.01407,18.9075,0.73915,5.8218e-05,5.8218e-05,5.8218e-05
5,63.9011,2.13095,9.10152,1.0019,0.00183,0.5,0.01181,0.00603,1.96567,25.3981,0.72475,7.6832e-05,7.6832e-05,7.6832e-05
6,81.0389,2.17815,8.47854,0.93456,0.68914,0.5,0.50452,0.25278,2.06317,28.4227,0.70718,9.505e-05,9.505e-05,9.505e-05
7,95.3894,1.99389,7.70215,0.94004,0.88418,0.5,0.63786,0.32604,1.90536,25.0829,0.68748,0.000112872,0.000112872,0.000112872
8,107.352,1.87631,7.38584,0.80641,0.49246,1,0.82833,0.497,1.78985,19.6507,0.67824,0.000130298,0.000130298,0.000130298
9,116.97,2.05015,3.83391,0.88351,0.93838,1,0.995,0.597,1.67303,17.4866,0.67198,0.000147328,0.000147328,0.000147328
10,126.602,2.0826,5.81974,0.92097,0.83823,1,0.995,0.64175,1.61792,18.8516,0.66572,0.000163962,0.000163962,0.000163962
11,136.428,2.05482,6.52512,0.81937,0.92709,1,0.995,0.62179,1.58853,21.8475,0.65904,0.0001802,0.0001802,0.0001802
12,144.863,2.60658,8.36443,0.90724,0.92668,1,0.995,0.54709,1.62713,28.5977,0.65279,0.000196042,0.000196042,0.000196042
13,152.389,1.73497,4.54685,0.91335,0.94758,1,0.995,0.42296,1.76201,35.4527,0.65075,0.000211488,0.000211488,0.000211488
14,159.389,2.38311,3.80116,0.9602,0.62816,1,0.82833,0.26545,1.76555,38.9273,0.64943,0.000226538,0.000226538,0.000226538
15,166.562,2.08149,3.26141,0.9206,0.5664,1,0.66333,0.2252,2.02527,46.7034,0.66385,0.000241192,0.000241192,0.000241192
16,173.376,1.47698,4.28343,0.82645,0.62454,1,0.82833,0.34242,2.17191,37.5297,0.68104,0.00025545,0.00025545,0.00025545
17,180.516,1.87574,2.51552,0.84344,0.62793,1,0.995,0.53475,2.12614,28.6719,0.69273,0.000269312,0.000269312,0.000269312
18,190.248,2.40257,4.31331,0.9198,0.62793,1,0.995,0.53475,2.12614,28.6719,0.69273,0.000282778,0.000282778,0.000282778
19,201.139,1.7613,2.19871,0.83899,0.88599,1,0.995,0.4975,2.09086,18.8415,0.68729,0.000295848,0.000295848,0.000295848
20,210.248,2.73819,4.79952,0.94576,0.88599,1,0.995,0.4975,2.09086,18.8415,0.68729,0.000308522,0.000308522,0.000308522
21,219.17,1.9952,2.26031,0.8802,0.97535,1,0.995,0.59658,1.7162,11.6124,0.67308,0.0003208,0.0003208,0.0003208
22,227.055,1.5975,3.53529,0.90007,0.97535,1,0.995,0.59658,1.7162,11.6124,0.67308,0.000332682,0.000332682,0.000332682
23,236.72,1.98176,2.52799,0.91783,0.65189,1,0.82833,0.54683,1.78652,8.80094,0.64688,0.000344168,0.000344168,0.000344168
24,247.02,2.54585,3.26833,0.82409,0.65189,1,0.82833,0.54683,1.78652,8.80094,0.64688,0.000355258,0.000355258,0.000355258
25,257.494,1.78675,3.67037,0.79577,0.6492,1,0.82833,0.51388,1.73903,8.92711,0.64016,0.000365952,0.000365952,0.000365952
