epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1376.14,2.97269,4.6533,1.228,0.78668,0.8,0.90651,0.52302,1.44493,3.57038,0.86419,0.0001,0.0001,0.0001
2,2540.34,2.6825,2.90217,1.12815,0.54064,0.94294,0.77848,0.47506,1.54434,7.17003,0.86232,0.00020911,0.00020911,0.00020911
3,3693.69,2.5771,2.40766,1.05788,0.23553,0.9,0.2499,0.12658,1.57689,12.5264,0.86854,0.00030634,0.00030634,0.00030634
4,4822.07,2.78061,2.29546,1.06384,0.50973,0.7,0.49333,0.193,1.79963,7.01071,0.84901,0.00039169,0.00039169,0.00039169
5,5908.51,2.4624,2.0067,1.00339,0.86115,0.62242,0.8439,0.47569,1.39143,3.94644,0.80621,0.00046516,0.00046516,0.00046516
6,6989.52,2.37597,1.7728,0.98701,0.98989,1,0.995,0.47422,1.8064,1.95014,0.8346,0.00052675,0.00052675,0.00052675
7,8076.45,2.39878,1.60101,1.02886,0.60518,1,0.995,0.47415,1.86229,14.9254,0.83598,0.00057646,0.00057646,0.00057646
8,9163.07,2.3324,1.6067,0.98894,0.79829,0.79229,0.71952,0.29767,1.721,4.71923,0.84502,0.00061429,0.00061429,0.00061429
9,10240.2,2.26633,1.59985,0.9888,1,0.89058,0.96643,0.54631,1.45901,1.60178,0.82403,0.00064024,0.00064024,0.00064024
10,11280.8,2.28325,1.46306,0.98055,0.01399,1,0.01401,0.00746,1.2657,342.138,0.80324,0.00065431,0.00065431,0.00065431
11,12342.4,2.36111,1.62823,1.01697,0.05714,0.8,0.05857,0.03234,1.36277,29.22,0.80843,0.0006565,0.0006565,0.0006565
12,13334.1,2.28684,1.50319,0.99381,0.70197,1,0.71071,0.46431,1.36133,2.0836,0.80215,0.00064681,0.00064681,0.00064681
13,14304.3,2.4059,1.41503,0.99973,0.97044,1,0.995,0.67437,1.34686,0.74614,0.80636,0.00062524,0.00062524,0.00062524
14,15279.3,2.13379,1.3899,0.97087,0.98258,1,0.995,0.6056,1.35385,0.84946,0.78576,0.00059179,0.00059179,0.00059179
15,16280.9,2.19373,1.29888,0.96388,0.98423,1,0.995,0.63951,1.26643,0.70315,0.79158,0.00054646,0.00054646,0.00054646
16,17250.1,2.20136,1.55123,0.99018,0.99076,1,0.995,0.67534,1.15435,0.74071,0.79266,0.00048925,0.00048925,0.00048925
17,18220.9,2.05369,1.24802,0.96592,0.99146,1,0.995,0.67617,1.13186,0.72675,0.78279,0.000416,0.000416,0.000416
18,19220.5,2.16943,1.3038,0.96859,0.98967,1,0.995,0.67993,1.20604,0.67873,0.77669,0.000317,0.000317,0.000317
19,20244.7,2.37237,1.40246,1.0282,0.98678,1,0.995,0.63885,1.29439,0.67443,0.78208,0.000218,0.000218,0.000218
20,21216.3,1.98322,1.26646,0.93122,0.98218,1,0.995,0.63956,1.25758,0.66477,0.78282,0.000119,0.000119,0.000119
